totalValue,9623809.045634147
Type,x1,x2,y1,y2
Water,1.2,21.2,37.1,109.1
Water,31.4,51.4,106.5,178.5
Water,106.7,126.7,54.5,126.5
Water,85.5,105.5,35.5,107.5
House,61.7,72.7,126.39999999999999,136.89999999999998
House,53.5,64.5,30.6,41.1
House,118.5,129.0,154.5,165.5
House,7.1,17.1,112.7,120.2
House,115.1,122.6,43.8,53.8
House,88.1,98.1,13.6,21.1
House,23.099999999999998,30.599999999999998,131.6,141.6
House,130.9,138.4,4.4,14.4
House,146.7,154.7,46.2,54.2
House,72.9,80.9,27.3,35.3
House,96.10000000000001,104.10000000000001,113.2,121.2
House,128.6,136.6,122.1,130.1
House,25.9,33.9,60.5,68.5
House,144.1,152.1,26.9,34.9
House,52.300000000000004,60.300000000000004,98.89999999999999,106.89999999999999
House,28.6,36.6,78.7,86.7
House,60.5,68.5,14.5,22.5
House,137.4,145.4,111.5,119.5
House,68.6,76.6,165.4,173.4
House,54.0,62.0,66.2,74.2
