totalValue,25220112.81492693
Type,x1,x2,y1,y2
Water,17.8,37.8,64.6,136.6
Water,127.7,147.7,24.1,96.1
Water,48.0,68.0,15.3,87.3
Water,119.0,139.0,98.3,170.3
House,74.5,85.5,74.5,85.0
House,44.5,55.5,125.0,135.5
House,105.0,115.5,124.5,135.5
House,112.0,122.5,37.5,48.5
House,37.0,47.5,37.0,48.0
House,117.0,127.5,80.0,91.0
House,74.0,85.0,26.5,37.0
House,38.0,48.5,87.5,98.5
House,74.5,85.5,147.0,157.5
House,75.0,85.0,107.0,114.5
House,21.0,28.5,149.0,159.0
House,45.5,53.0,152.5,162.5
House,102.5,110.0,152.5,162.5
House,16.5,26.5,16.5,24.0
House,132.0,142.0,16.5,24.0
House,87.0,97.0,52.0,59.5
House,15.0,25.0,57.0,64.5
House,39.5,47.0,62.5,72.5
House,99.0,106.5,14.5,24.5
House,99.0,109.0,102.5,110.0
House,12.5,22.5,36.5,44.0
House,40.0,47.5,13.5,23.5
House,68.0,78.0,127.0,134.5
House,139.5,147.0,96.5,106.5
House,139.5,147.5,119.0,127.0
House,139.5,147.5,139.5,147.5
House,139.5,147.5,159.5,167.5
House,97.5,105.5,71.0,79.0
House,117.0,125.0,60.0,68.0
House,56.0,64.0,106.0,114.0
House,68.5,76.5,47.5,55.5
House,9.5,17.5,74.0,82.0
House,9.5,17.5,91.5,99.5
House,9.5,17.5,109.0,117.0
House,9.5,17.5,126.5,134.5
House,87.5,95.5,124.0,132.0
House,94.5,102.5,34.0,42.0
House,58.0,66.0,88.5,96.5
House,38.0,46.0,107.5,115.5
House,68.5,76.5,9.0,17.0
House,115.0,123.0,8.5,16.5
House,61.0,69.0,163.5,171.5
House,7.5,15.5,164.5,172.5
House,93.0,101.0,86.5,94.5
House,87.5,95.5,164.5,172.5
House,59.5,67.5,141.5,149.5
House,73.0,81.0,92.0,100.0
House,83.5,91.5,7.0,15.0
House,6.5,14.5,141.0,149.0
House,22.0,30.0,165.5,173.5
House,54.0,62.0,6.5,14.5
House,113.0,121.0,23.0,31.0
House,91.5,99.5,138.5,146.5
House,103.0,111.0,54.5,62.5
House,146.5,154.5,5.5,13.5
House,33.5,41.5,141.5,149.5
House,35.0,43.0,167.0,175.0
House,68.5,76.5,60.5,68.5
House,74.0,82.0,163.5,171.5
House,5.0,13.0,5.0,13.0
