totalValue,11330942.269349912
Type,x1,x2,y1,y2
Water,26.7,46.7,92.2,164.2
Water,81.6,101.6,107.6,179.6
Water,126.0,146.0,106.6,178.6
Water,119.9,139.9,17.0,89.0
House,74.5,85.0,74.5,85.5
House,104.5,115.5,125.0,135.5
House,47.0,57.5,125.5,136.5
House,38.5,48.5,38.5,46.0
House,112.0,119.5,38.0,48.0
House,32.0,42.0,78.0,85.5
House,121.0,131.0,89.5,97.0
House,76.5,84.0,28.0,38.0
House,73.5,81.5,150.5,158.5
House,73.5,81.5,105.5,113.5
House,18.5,26.5,103.5,111.5
House,18.5,26.5,130.0,138.0
House,117.5,125.5,153.5,161.5
House,103.0,111.0,66.0,74.0
House,18.0,26.0,18.0,26.0
House,47.0,55.0,154.0,162.0
House,17.0,25.0,155.0,163.0
House,16.5,24.5,55.0,63.0
House,48.0,56.0,101.0,109.0
House,97.5,105.5,99.5,107.5
