totalValue,10901809.322172755
Type,x1,x2,y1,y2
Water,8.3,28.3,52.8,124.8
Water,67.8,87.8,90.0,162.0
Water,30.1,50.1,45.9,117.9
Water,108.8,128.8,45.2,117.2
House,51.1,61.6,43.7,54.7
House,124.4,135.4,128.3,138.8
House,130.7,141.7,70.7,81.2
House,109.4,116.9,153.0,163.0
House,47.5,57.5,3.5,11.0
House,52.0,62.0,86.7,94.2
House,47.3,57.3,123.1,130.6
House,129.3,139.3,31.0,38.5
House,131.2,139.2,163.4,171.4
House,135.0,143.0,99.9,107.9
House,33.9,41.9,168.1,176.1
House,100.1,108.1,76.3,84.3
House,100.1,108.1,110.6,118.6
House,90.3,98.3,147.5,155.5
House,50.7,58.7,154.9,162.9
House,97.7,105.7,122.2,130.2
House,102.5,110.5,16.1,24.1
House,10.5,18.5,141.7,149.7
House,77.0,85.0,13.8,21.8
House,10.9,18.9,161.9,169.9
