totalValue,10213760.839255765
Type,x1,x2,y1,y2
Water,9.4,29.4,53.4,125.4
Water,108.7,128.7,66.1,138.1
Water,81.2,101.2,6.4,78.4
Water,48.8,68.8,48.5,120.5
House,136.5,147.0,145.5,156.5
House,101.4,111.9,45.0,56.0
House,92.6,103.1,134.8,145.8
House,141.8,149.3,73.4,83.4
House,37.8,47.8,79.6,87.1
House,35.4,45.4,134.7,142.2
House,82.6,92.6,111.1,118.6
House,9.8,19.8,164.0,171.5
House,141.6,149.6,57.5,65.5
House,50.1,58.1,12.8,20.8
House,59.1,67.1,39.3,47.3
House,96.2,104.2,89.2,97.2
House,19.3,27.3,125.9,133.9
House,44.2,52.2,36.0,44.0
House,20.7,28.7,145.6,153.6
House,33.0,41.0,41.2,49.2
House,60.6,68.6,122.2,130.2
House,11.8,19.8,29.4,37.4
House,141.6,149.6,126.9,134.9
House,86.0,94.0,166.6,174.6
